id,study_id/id,subject_id/id,internal_ponderation,external_ponderation
__import__.planning_sa_3002,ems.study_cfpb_ag10_sa_2024,ems.subject_3002,90.0,10.0
__import__.planning_sa_3003,ems.study_cfpb_ag10_sa_2024,ems.subject_3003_sa,90.0,10.0
__import__.planning_sa_3006,ems.study_cfpb_ag10_sa_2024,ems.subject_3006,90.0,10.0
__import__.planning_sa_3159,ems.study_cfpb_ag10_sa_2024,ems.subject_3159,90.0,10.0
__import__.planning_sa_3001,ems.study_cfpb_ag10_sa_2024,ems.subject_3001,90.0,10.0
__import__.planning_sa_3004,ems.study_cfpb_ag10_sa_2024,ems.subject_3004_sa,90.0,10.0
__import__.planning_sa_3005,ems.study_cfpb_ag10_sa_2024,ems.subject_3005,90.0,10.0
__import__.planning_sa_3160,ems.study_cfpb_ag10_sa_2024,ems.subject_3160,90.0,10.0
